Side,Price,Quantity,Total
ASK,2690.150,2.78660000,7496.371990000001
ASK,2690.160,0.91160000,2452.349856
ASK,2690.170,4.34720000,11694.707024
ASK,2690.200,0.97970000,2635.5889399999996
ASK,2690.210,18.30340000,49239.989714
ASK,2690.220,0.00190000,5.111418
ASK,2690.240,12.44680000,33484.879232
ASK,2690.250,4.50160000,12110.429399999999
ASK,2690.260,1.11620000,3002.8682120000003
ASK,2690.270,1.38930000,3737.592111
ASK,2690.280,0.00380000,10.223064
ASK,2690.300,0.92360000,2484.76108
ASK,2690.310,10.32480000,27776.912688
ASK,2690.320,4.14740000,11157.833168000001
ASK,2690.340,2.70270000,7271.181918
ASK,2690.360,1.56210000,4202.611356
ASK,2690.370,16.15750000,43469.653275
ASK,2690.380,1.38740000,3732.633212
ASK,2690.390,1.65720000,4458.514308
ASK,2690.400,9.24980000,24885.661920000002
ASK,2690.410,1.31920000,3549.1888719999997
ASK,2690.420,1.39140000,3743.450388
ASK,2690.430,0.05610000,150.933123
ASK,2690.440,1.95500000,5259.8102
ASK,2690.450,2.02670000,5452.735014999999
ASK,2690.460,3.13640000,8438.358744000001
ASK,2690.470,15.17370000,40824.384638999996
ASK,2690.480,4.17120000,11222.530176
ASK,2690.490,3.65070000,9822.171843
ASK,2690.500,1.23030000,3310.1221499999997
ASK,2690.540,0.04460000,119.998084
ASK,2690.550,0.00300000,8.07165
ASK,2690.560,1.56100000,4199.9641599999995
ASK,2690.570,0.97240000,2616.310268
ASK,2690.580,3.72780000,10029.944124
ASK,2690.620,10.33380000,27804.328955999998
ASK,2690.630,0.53120000,1429.262656
ASK,2690.650,24.05340000,64719.28071
ASK,2690.660,1.31920000,3549.5186719999997
ASK,2690.680,0.97970000,2636.0591959999997
ASK,2690.700,0.00380000,10.22466
ASK,2690.730,4.16800000,11214.96264
ASK,2690.740,0.00190000,5.112406
ASK,2690.750,4.46270000,12008.010025
ASK,2690.760,1.32040000,3552.8795040000005
ASK,2690.770,0.00380000,10.224926
ASK,2690.780,0.74410000,2002.2093980000002
ASK,2690.820,8.06470000,21700.656054000003
ASK,2690.840,0.00380000,10.225192
ASK,2690.850,0.00190000,5.112615
ASK,2690.860,4.13560000,11128.320616
ASK,2690.880,5.50790000,14821.097952000002
ASK,2690.890,5.91440000,15914.999815999998
ASK,2690.900,6.30000000,16952.670000000002
